#p2
#QuimP output - /home/baniuk/Documents/Quimp-developing/quimp-user-request/experiment1/Composite-after-macro_1.stQP.csv
# Centroids are given in pixels.  Distance & speed & area measurements are scaled to micro meters
# Scale: 0.1716179592016058 micro meter per pixel | Frame interval: 1.0 sec
# Frame,X-Centroid,Y-Centroid,Displacement,Dist. Traveled,Directionality,Speed,Perimeter,Elongation,Circularity,Area
1,227.21,198.16,0.00,0.00,0.00,0.00,57.30,1.61,0.660,172.53
2,226.94,196.51,0.29,0.29,1.00,0.29,60.19,1.55,0.648,186.79
3,226.77,195.45,0.47,0.47,1.00,0.18,65.00,1.56,0.570,191.47
4,226.43,194.00,0.73,0.73,1.00,0.26,62.14,1.55,0.644,197.78
5,226.45,192.66,0.95,0.96,1.00,0.23,63.46,1.49,0.618,197.92
6,225.52,191.60,1.16,1.20,0.97,0.24,64.90,1.45,0.588,197.07
7,223.44,190.87,1.41,1.58,0.89,0.38,62.90,1.38,0.642,202.08
8,224.17,191.26,1.29,1.72,0.75,0.14,64.53,1.49,0.584,193.45
9,223.83,189.65,1.57,2.00,0.79,0.28,63.85,1.48,0.593,192.30
10,223.17,189.38,1.66,2.12,0.78,0.12,63.63,1.44,0.591,190.41
11,222.84,189.28,1.70,2.18,0.78,0.06,62.66,1.47,0.598,186.88
12,223.00,187.99,1.89,2.41,0.78,0.22,69.97,1.43,0.503,195.95
13,221.88,188.62,1.88,2.63,0.71,0.22,62.59,1.54,0.615,191.59
14,222.15,189.51,1.72,2.79,0.62,0.16,61.38,1.47,0.626,187.70
15,222.58,189.54,1.68,2.86,0.59,0.07,62.64,1.42,0.596,186.17
16,222.41,188.56,1.84,3.03,0.61,0.17,64.25,1.46,0.574,188.38
17,222.96,189.04,1.73,3.16,0.55,0.13,62.61,1.47,0.594,185.43
18,224.33,189.83,1.51,3.43,0.44,0.27,58.46,1.52,0.657,178.66
19,225.05,191.31,1.23,3.71,0.33,0.28,58.03,1.48,0.666,178.42
20,226.18,191.62,1.14,3.91,0.29,0.20,54.99,1.52,0.723,173.89
